INTERACTOR_A  INTERACTOR_B
ENSP00000384863  ENSP00000302564
PRO_0000037317  PRO_0000037316
PRO_0000037318  VME1_CVHSA
ENSP00000339191  PRO_0000037317
PRO_0000037322  NCAP_CVHSA
NCAP_CVHSA  ENSP00000360266
PRO_0000037317  NS7A_CVHSA
PRO_0000037318  NS7A_CVHSA
VME1_CVHSA  ENSP00000360266
NCAP_CVHSA  ENSP00000248598
PRO_0000037309  AP3A_CVHSA
VME1_CVHSA  ENSP00000302564
ENSP00000302564  ENSP00000261503
PRO_0000037309  NS7A_CVHSA
PRO_0000037318  ENSP00000248598
PRO_0000037314  ORF9B_CVHSA
ENSP00000302564  PRO_0000037309
PRO_0000037318  NCAP_CVHSA
ENSP00000302564  PRO_0000037317
PRO_0000037316  ENSP00000261503
ORF9B_CVHSA  NS7A_CVHSA
PRO_0000037317  ORF9B_CVHSA
PRO_0000037322  ENSP00000261503
ENSP00000221566  ENSP00000384863
PRO_0000037316  PRO_0000037317
SPIKE_CVHSA  PRO_0000037315
VME1_CVHSA  NCAP_CVHSA
ENSP00000264657  ENSP00000248598
ENSP00000302564  PRO_0000037310
ENSP00000326031  ENSP00000360266
ENSP00000248598  ENSP00000384863
PRO_0000037318  PRO_0000037309
ORF9B_CVHSA  PRO_0000037316
PRO_0000037316  PRO_0000037317
SPIKE_CVHSA  PRO_0000037317
ENSP00000360266  PRO_0000037310
VME1_CVHSA  SPIKE_CVHSA
NCAP_CVHSA  ENSP00000302564
NCAP_CVHSA  ENSP00000360266
AP3A_CVHSA  ENSP00000221566
PRO_0000037322  PRO_0000037322
PRO_0000037309  SPIKE_CVHSA
VME1_CVHSA  ENSP00000261503
NS7A_CVHSA  ENSP00000261503
PRO_0000037315  SPIKE_CVHSA
PRO_0000037318  VME1_CVHSA
PRO_0000037316  PRO_0000037322
ENSP00000221566  PRO_0000037314
VME1_CVHSA  PRO_0000037316
PRO_0000037318  ENSP00000221566
ENSP00000360266  PRO_0000037317
ENSP00000384863  ENSP00000221566
PRO_0000037316  ENSP00000221566
