INTERACTOR_A INTERACTOR_B
ENSP00000302564  SPIKE_CVHSA
ENSP00000339191  NCAP_CVHSA
NCAP_CVHSA VME1_CVHSA
PRO_0000037310 PRO_0000037315
PRO_0000037316 VME1_CVHSA
NS7A_CVHSA ENSP00000360266
PRO_0000037322 ENSP00000221566
ENSP00000384863  PRO_0000037322
ENSP00000360266  AP3A_CVHSA
ENSP00000248598  ENSP00000264657
PRO_0000037310 SPIKE_CVHSA
ENSP00000326031 VME1_CVHSA
ENSP00000300408  NCAP_CVHSA
AP3A_CVHSA SPIKE_CVHSA
ENSP00000326031  VME1_CVHSA
AP3A_CVHSA ENSP00000360266
PRO_0000037322 PRO_0000037310
ENSP00000360266  ENSP00000248598
NCAP_CVHSA ENSP00000221566
ENSP00000384863  ENSP00000300408
ENSP00000302564  PRO_0000037310
VME1_CVHSA NS7A_CVHSA
PRO_0000037322 PRO_0000037322
AP3A_CVHSA ENSP00000360266
ENSP00000261503  NCAP_CVHSA
AP3A_CVHSA ENSP00000264657
ENSP00000264657  PRO_0000037317
ENSP00000302564  ENSP00000264657
PRO_0000037314 ENSP00000384863
ENSP00000360266  PRO_0000037309
NCAP_CVHSA PRO_0000037309
ORF9B_CVHSA ORF9B_CVHSA
PRO_0000037309 VME1_CVHSA
PRO_0000037322 ENSP00000300408
ENSP00000221566 NCAP_CVHSA
ENSP00000302564  ENSP00000302564
VME1_CVHSA PRO_0000037314
ENSP00000261503  PRO_0000037317
ENSP00000261503  ORF9B_CVHSA
PRO_0000037322 PRO_0000037318
ENSP00000221566  PRO_0000037316
PRO_0000037315 NS7A_CVHSA
ENSP00000248598  ENSP00000264657
PRO_0000037316 PRO_0000037318
ENSP00000300408  PRO_0000037322
NCAP_CVHSA NCAP_CVHSA
ENSP00000360266  ENSP00000248598
PRO_0000037317 ENSP00000248598
ENSP00000384863  ENSP00000302564
PRO_0000037310 PRO_0000037322
NCAP_CVHSA PRO_0000037317
ENSP00000326031  PRO_0000037314
ENSP00000326031  PRO_0000037318
